customer_id,source_user_id,signup_date,region,age_group,acquisition_channel
C_4224434,AF2FTNKCY6XY67BKBUO4BNJRZ4XQ,2018-06-24,North,35-44,Organic
C_3248344,AHEQRHKGEACLR3RSXRQ7TUIXZGSQ,2020-01-25,East,25-34,Social
C_8377016,AHW7W34BLHHC4AYM4TPMLA2SWMMA,2020-11-22,West,35-44,Social
C_9537824,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,2021-03-10,North,45-54,Organic
C_2567953,AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,2018-03-31,Central,18-24,Referral
C_4233690,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,2018-08-04,East,35-44,Social
C_6752890,AFPBVAEV3FCQOHKJJGAKQLZLTCZQ,2019-01-16,East,18-24,Organic
C_7476582,AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,2021-07-01,Central,18-24,Organic
C_1559657,AEEM2QIBMUUXEAJIEQH2WT2KNZZA,2022-02-18,East,45-54,Email
C_2395285,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,2020-11-18,South,55+,Referral
C_8280746,AHATA6X6MYTC3VNBFJ3WIYVK257A,2021-10-23,West,25-34,Referral
C_0796126,AFA26DYXVLJYTYZ3KET77GE27N2A,2020-06-18,North,18-24,Organic
C_7967011,AFLGWVMNAKFSOPJNKKLYHP2F2IMQ,2020-07-09,Central,25-34,Referral
C_5614564,AHV6QCNBJNSGLATP56JAWJ3C4G2A,2021-10-17,Central,18-24,Organic
C_6790089,AF3IELI63FDNLEAGV2I6KYJ2LXFA,2020-09-09,West,35-44,Organic
C_6812570,AEITH2MBDGMCSAZSBNAYOEBOJXFA,2013-01-18,West,45-54,Social
C_4179259,AGYBOBPV47L6FRILNSZ7S6XFLPFA,2020-12-15,South,45-54,Social
C_8473799,AEVLPO2NHUQOLLCLFH75UHGJPMLA,2019-12-31,South,25-34,Organic
C_8756128,AEWTKEIDMSOZ7Z3MOOEIXYPYUCCQ,2020-06-02,Central,55+,Paid Search
C_1250733,AH64T2MRMNF76UENPWCIMMCYTSZA,2013-03-31,West,25-34,Paid Search
C_6660040,AG7WKTZINOFIXMZJYIPKIB7PV7NQ,2020-03-17,East,25-34,Social
C_2007613,AEHVSZ72XXI4SU6XUNXMJAXUYN6Q,2015-02-24,South,25-34,Organic
C_6869477,AEHWUHNTB5FX32HJ7UBOZ2WWUX3Q,2018-06-29,South,25-34,Social
C_1955902,AFXPXKJ5MAQPX5NIXMU5C4ISAIGA,2020-07-13,West,18-24,Paid Search
C_8227749,AGPOZ62Q3ULTH7RLBK4BIJ75T2KQ,2014-01-07,East,55+,Organic
C_9072446,AGTHQ6ANUEV7VOOVAEFWVMFIILUA,2021-02-18,South,18-24,Referral
C_9799551,AEZ26WGWJ3EOQ4KWSHG77HJAG4EA,2020-11-14,North,35-44,Referral
C_1072279,AGCCFLGNMV6ABDOO4O6SUJW65ICA,2016-08-13,South,35-44,Paid Search
C_9404452,AFJBKPK5W56XWSNPQU2WW66ISWYQ,2022-02-24,East,35-44,Social
C_0929452,AGQKBA5POXDOUO4U43YF2LNEZPLA,2019-02-10,Central,35-44,Organic
C_4190551,AES57JTXM7IOKT74AXQSNL5NNMFQ,2019-12-09,North,25-34,Referral
C_1234508,AFTWZJUP2224KGWPBCBBLHS7573A,2019-11-26,East,35-44,Referral
C_4449878,AGGLOHDR6L7GZMIFCGXPPHS23OTQ,2018-09-08,Central,45-54,Organic
C_7294546,AGVLLL3Z55OFM5JTJJWFJFQXPUGQ,2019-06-22,South,45-54,Organic
C_8063187,AG5FGEYGAMLVI7NOKMXL7ORUZNDQ,2019-06-04,South,25-34,Paid Search
C_8269089,AHH4EDVBK4H6ZWPSCSNQHX3BRKZA,2018-10-22,West,18-24,Paid Search
C_2198473,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,2019-06-18,West,35-44,Referral
C_9250527,AETE7Y3DZT6BLMWA6U27ADJDZ4LA,2016-04-21,Central,18-24,Paid Search
C_7499576,AEINWALDRYT4NTF3M5NC2WZ5YQNA,2017-07-14,North,25-34,Social
C_2319927,AFRVV3L6CJUHLLKWA3PIG7JCYJQQ,2015-10-08,West,18-24,Social
C_1546550,AFPHKIJFGIU4G4POXRFCEF5RJJHA,2020-10-15,South,25-34,Social
C_5040290,AF227ZORVJNXGFF6UFK23IYWE7AA,2017-10-22,West,55+,Social
C_3323594,AHF2OTODCQC4BETX7CHZMOHUBODQ,2017-05-10,West,35-44,Organic
C_2284684,AFDEH7TVRJ4GBWE76Z7RBSHQOC4A,2018-07-24,West,35-44,Social
C_9490668,AGDTHJ7R5N2HOHYK4AACLB53BULA,2016-10-01,Central,45-54,Referral
C_8077535,AEWFEWBJVI2YN7WAWVXSOYT5MANA,2019-07-11,South,35-44,Organic
C_8220233,AHGCCTL7DBBD7FK4RFYAJS53BGOA,2020-09-11,South,35-44,Email
C_0915541,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,2020-05-12,North,55+,Organic
C_0507877,AHJQPUQLSQZE6LMIUMY7WNRXCQQQ,2020-09-16,Central,35-44,Organic
C_0242097,AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,2021-06-12,South,45-54,Paid Search
C_1889511,AGTITI6OKWPN2AVELIAJALJFX6NA,2013-09-16,North,25-34,Paid Search
C_5261200,AEA2AYPIP3RN2YZWRNFKKD6OGGBA,2019-08-23,East,18-24,Paid Search
C_8698170,AHL5ZHN64UHJOGQLPINJ3BN4VBPA,2017-08-18,South,35-44,Social
C_0260310,AEYGPUCRKH7G4VM22FM3VAKSQ23Q,2019-07-05,North,55+,Organic
C_3388972,AEV6OL4GLSYMDNUHS4Y4DNVFDRHQ,2018-07-28,West,35-44,Social
C_2014386,AFFFV4Y35FUSSYUMRHYV4P34X2MA,2017-12-27,North,35-44,Paid Search
C_4592871,AHCZKT34YZL3CVXYVH2CNKQDCYBA,2017-12-02,Central,55+,Social
C_3065342,AF4NIQPIZQ3S3G6KEVQW33DNHZSQ,2014-02-27,North,35-44,Social
C_7202679,AFDPKX3DYZI6FV5GXLI7NVTULR4Q,2019-04-16,South,18-24,Referral
C_2079268,AHU2Y2ZFQKI3V3ARFDKZA6ER4NUQ,2014-10-22,Central,18-24,Referral
C_8126853,AEIHN6JDLYL2QYCAOCBVEUPHU5EA,2018-02-03,North,18-24,Organic
C_3727210,AEUMYP5IWSQCLQRIAUKTWR2LZRSA,2020-02-17,West,35-44,Referral
C_3832658,AEHJJPC3MQJAHAJWBEVIF5EFQQBQ,2019-04-09,Central,25-34,Social
C_0819224,AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,2021-05-18,West,25-34,Paid Search
C_0312767,AFDERNB6BIR3U2DOR3S2KX7KJJXQ,2019-10-15,South,45-54,Organic
C_2103668,AEIPJBAN7A55Q5DFFPZSR2UV3OKA,2020-11-21,Central,55+,Social
C_3107596,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,2022-01-07,Central,35-44,Social
C_6112622,AHYARJU3M2CYM3W5SZYL33KOFVHA,2017-12-22,North,55+,Social
C_2536213,AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,2018-02-14,East,45-54,Organic
C_1160421,AEZV3WDCDM6V4CJMN222D52REYYA,2013-06-22,South,45-54,Social
C_2407974,AEG6UV72JH6WOHEAWLMNXT6J7F4A,2020-09-08,North,25-34,Paid Search
C_4202748,AEX3CW22RUBG2EEUYSBZBMTRJSZQ,2017-11-30,Central,25-34,Paid Search
C_0151384,AEICZD35OTDYVWA2KPYWN4PDZ2SA,2016-10-24,East,25-34,Referral
C_9035794,AE6ZACCQOGZIDDWM4TZPAEKUJRHA,2018-10-18,Central,25-34,Paid Search
C_6496828,AG4COLOHCLHWUUYWCZ77TPJLE3EQ,2018-06-16,East,25-34,Paid Search
C_1492945,AGBZYPQKIUZGWHXOZZFAMVEQZ5JQ,2020-11-13,North,35-44,Organic
C_9254820,AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,2018-12-22,North,18-24,Paid Search
C_7449925,AERRX357RLQ6SAUBH6HDYNGTXZ4A,2018-01-10,East,25-34,Paid Search
C_4202202,AFNZHLVWANRWLF3N24KCMPOTYG2A,2015-06-14,East,35-44,Paid Search
C_9079833,AGROPS2VIN3R7UUTWO2F662NSNMQ,2021-06-19,North,25-34,Email
C_7876077,AF4Y2O5Z4P7JZPXUQSR62VAP2I3Q,2018-09-09,East,35-44,Social
C_8241860,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,2015-09-06,South,45-54,Organic
C_4358973,AEOYNV3GTKOZ2YOEY4QEKIAEZEZA,2014-07-17,North,25-34,Social
C_7117503,AGBOGNMAG3UCA6B4Z6VT62DVNOIA,2013-07-28,North,25-34,Email
C_9894460,AFD6OGB6AY4YPKN62LCTXGYR7KJA,2019-03-11,South,55+,Social
C_2295700,AFWVN52MRBWOTIK7UGXBWGOY4HBA,2021-04-14,North,35-44,Organic
C_2292516,AGLHRXHXPXK6M7LUU4NZXE3GQFMA,2020-02-05,North,25-34,Organic
C_9745283,AGKKCD6TYVYVC2EOWPV6W3DPXOWA,2017-01-20,Central,25-34,Email
C_0865416,AET24VX4XLW3GZ2XNFXZNPTE2AVA,2019-11-15,South,25-34,Organic
C_3572809,AFDDEXBXGKNMWIZQLH3764LUZ7BQ,2021-07-06,North,18-24,Organic
C_5112320,AFYMNMPJ7TCETT3PK55JBS57I6DQ,2021-06-17,East,35-44,Referral
C_9186539,AFQQQ5LGNSQUEBGDCYBAZZE5T3DA,2020-02-10,Central,25-34,Organic
C_1074808,AE6T5HPHZOJKN2BGUA3ZAVDKDOWQ,2018-03-12,North,18-24,Social
C_9523628,AEQ5KNRASE5F7HHXZJ7XRN6SBSWQ,2017-07-16,Central,35-44,Email
C_6390509,AFRZ3YEUSNVS6THSGMGSWWCMPJ5A,2017-09-13,East,18-24,Organic
C_0845245,AEKLWIFD6GVHWJKIC4QDCDYRNYKQ,2018-07-15,Central,35-44,Paid Search
C_6898210,AFLX66DKF6R3H6OEOC3TIVAYXZIQ,2018-06-11,North,25-34,Paid Search
C_3051308,AFQ7WYW4KSH4VI5OVXCP2GV6PBRA,2019-06-04,North,25-34,Organic
C_8640375,AETGCWXC47MSMK6B2TLZ44KCFJZQ,2020-02-02,Central,55+,Email
C_5217445,AF5KHOHRF2PHDZVWJSYAVFUD7C2A,2020-08-10,West,45-54,Social
C_4096825,AEKHCQJBDUCMVSTED7AMOZDC4COQ,2019-04-10,South,45-54,Social
C_9587489,AE5QIQBWPOWOLRSFTK5CXI53EGEA,2019-09-04,North,18-24,Social
C_0214242,AEJWQQYYOFNDGPKXLXJPNBTQLCAA,2016-08-19,West,18-24,Paid Search
C_5805545,AER7BPYAMW5CAICYIJX7QW64MBIA,2016-11-11,South,35-44,Organic
C_3541010,AHI7SBHYECQUIS63BKXBHY325VVQ,2022-04-07,West,25-34,Paid Search
C_4963599,AEHWOWAIPMPP2EN6C24JJQROQ5VQ,2017-12-23,North,25-34,Paid Search
C_7317955,AFJP74KDEKRSPJN5JINL452T6WNA,2019-08-15,East,55+,Organic
C_4795673,AHVOLBWSTIHEM6VGNYMEQGVWR2YA,2016-12-26,South,35-44,Organic
C_7402737,AF5PN3FPG5Z66P7Z7UWL56D6CGMA,2022-05-09,North,45-54,Email
C_7249196,AFB6GBEYFLU4ARUPS3MESCJPO6JA,2019-05-27,South,25-34,Paid Search
C_1516906,AEDKMXFNRORNCFUMIVSRCXZHQXQA,2020-05-18,South,18-24,Social
C_2539376,AHJ2CDYLH4BNPIDVY3TIDSBNRRPA,2018-10-16,West,25-34,Social
C_8549778,AF36B77ISO4OHA5GUTF46F4BJRMQ,2016-07-29,East,35-44,Referral
C_2456562,AHPBIP5JNVD4ZDTULYEAAX2PBDGQ,2021-02-11,South,35-44,Organic
C_3463653,AFITKUE552XUTQQPEO4SIHWHLNMQ,2020-10-29,East,25-34,Referral
C_9419702,AFCXJZWRP5BLDWIOBUJ3TZG6OMBA,2020-05-28,West,55+,Social
C_4426979,AE7ZR5DNB5MPPJ3KNECRHSDEDPUQ,2020-03-23,East,35-44,Email
C_4478548,AFTLUVGQWKW6XSQ5TB6UER5Q263A,2021-03-04,West,35-44,Social
C_7442237,AEUAL3EJKUSTNB4YY6STLYGTJALA,2022-04-17,Central,35-44,Referral
C_1696777,AGZZ35KI6RBFZYHG4TZPOAIACVMA,2019-12-06,Central,25-34,Social
C_4201257,AGNUU3OZ4L7UGAXA72NJIDDFJYDQ,2016-11-08,East,35-44,Referral
C_8502115,AGG63E55UYM5735FTMRLAXL4D5IQ,2018-04-17,West,25-34,Email
C_2794168,AFWVC6NYAO5FZTS25VUIH3H73KZQ,2019-08-26,North,55+,Social
C_1448064,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,2015-01-07,West,35-44,Social
C_0374708,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,2020-01-11,South,45-54,Organic
C_0340089,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,2019-02-04,East,45-54,Social
C_1353446,AEPQSFDPLHZQ6Y5XB7IUBW4DY5YA,2016-09-23,East,25-34,Organic
C_4991445,AGV3JEME5YIGXADUTXWKVZS6Z7JA,2017-05-29,East,25-34,Paid Search
C_2944662,AHTVQZZNC6IVALR2CU2JCAG7FZIA,2019-03-07,North,55+,Organic
C_6551286,AFXFEXKD2XNGFLVJ2MMAXNYJSDAQ,2017-10-23,Central,18-24,Organic
C_8648202,AGTR4A6CYH6AGEIYCAPYPQZERZLQ,2016-02-23,East,35-44,Social
C_2128699,AGQFGXUGFSZHNRQGP7J24RVSLZSA,2013-11-24,North,55+,Paid Search
C_8470960,AFM5NV37IAPIP2AZXEZTKP3BJWKQ,2018-07-29,West,35-44,Paid Search
C_8526420,AGFKWX5UV6XADCUDKYILHVF2GIQA,2019-02-02,Central,35-44,Email
C_7240324,AGAM2CCKV52HI4YZU7ASZTSXA7YQ,2021-08-09,Central,35-44,Paid Search
C_8958009,AGAHANLSS7DG4ZHNPP5S56W4SKHA,2021-07-26,Central,35-44,Social
C_7224127,AEDDULPRRWJ3YVRQJEN56ENGJUDQ,2020-03-11,Central,35-44,Organic
C_4616486,AGMZO7NPGHYPLCOCLMQEDGKNCHVA,2022-07-30,Central,18-24,Referral
C_8904645,AGGMDRXIZJHBVVQFKU2LJ3LGICTA,2018-05-06,East,45-54,Social
C_7524280,AENWOKSUWWPH7FNTRNP6GPGTHRUA,2021-04-15,North,35-44,Social
C_9894223,AEXTSZOMHUDQZ46764RKBNZ2WANA,2016-07-24,Central,55+,Social
C_0022486,AG7MO2XSVUHRZKH46X3QXC7LR32A,2021-07-31,South,18-24,Organic
C_6174746,AE6EPWEAGVOKWS42HYLLT2CZWTGQ,2014-11-27,East,35-44,Organic
C_2115887,AGUNN5632O4AITGTUZQO77YKW5EQ,2016-02-28,East,35-44,Referral
C_5912063,AHMO6GV56HC3LYCVNNAPFNWF4HFQ,2015-03-25,North,45-54,Organic
C_0653863,AEC4USL3AGDC4UZXCGL6AYRUCBBQ,2013-11-11,East,35-44,Paid Search
C_6896352,AFH37SUSDVJI6GWNF2YSSGAPUB7A,2020-06-01,North,35-44,Referral
C_3376984,AH65KTF6RTJHRRSAQ62SCEO4YUAA,2020-08-03,East,18-24,Email
C_4975988,AFEUJGH6HN52IP6H7ZD26KYZGEWQ,2010-12-15,South,18-24,Social
C_1936410,AF224BZVIYKHVGJGPKGC3UAVTLQQ,2020-08-16,West,18-24,Social
C_4350066,AGUFDVO4TYIFQHQUMDXFHSHH43BA,2017-06-07,South,25-34,Paid Search
C_0763603,AGGOUUE2QZ23ABB7XE5SCBCGT63Q,2018-05-11,South,25-34,Referral
C_5808175,AERUWTJE5HQMM5BOWAHH5E6HFKEA,2016-10-27,North,35-44,Paid Search
C_4021795,AFCSIDWSKICZ5UH26NREKPW25X4A,2014-05-15,Central,35-44,Referral
C_2338461,AHTOYKLAV35TPN7AAWFB6Q5BIMYA,2018-02-02,East,55+,Organic
C_2488901,AGVQJFWTGNXNOKM6BOGYN7RB3OPA,2014-12-27,Central,35-44,Organic
C_7085206,AEIY2WXJWZJSCUMR7S4F3AALGPEQ,2015-08-23,Central,35-44,Referral
C_2009776,AEC75WKIIIK4LDQFKNOKWNFZUYJA,2015-08-04,West,25-34,Paid Search
C_4985535,AGIYSA62BZULHNSJTMPAT5IC3MLQ,2019-03-26,South,25-34,Referral
C_9742288,AE54OXZJ3A4QXJLDRE37JABF4WAQ,2021-09-23,North,35-44,Paid Search
C_6726205,AH7P2ZJ7NDT2NNVS7ZEGNEPT2J2Q,2018-01-06,East,35-44,Organic
C_7331519,AHYHK7JKOZ7F7TUDXUWSONLITJJQ,2021-10-17,South,35-44,Organic
C_8064897,AFQKWXGOZ6N33TEWPESQEA7NQWIA,2014-06-04,Central,35-44,Organic
C_0408267,AHIFWJCLH3DZ5S6XBY7XKEKIFNMQ,2021-08-27,West,55+,Organic
C_6550100,AGW47FN4SDTHI2VLAZPPRTTJHVYQ,2020-04-23,North,45-54,Paid Search
C_9731672,AEMZX2FHIAL2R6YPCIXUSWFRB33Q,2019-12-04,North,25-34,Organic
C_6453924,AGPSLW4UG4AWFP6AYDV4AFGSHMWQ,2020-07-10,North,45-54,Social
C_3013648,AERBGR3GPGZ4IJMR3C2SYO64PVLQ,2014-12-21,South,18-24,Organic
C_4030867,AF6N3BBR32UMXX276IR7CTZTVTQA,2020-01-08,West,25-34,Paid Search
C_5302721,AH2KRJCMDPAGIOGC4MOAQEIHGE2A,2019-10-05,North,18-24,Referral
C_4079256,AE4R34JAQMBCEAPRJI5ZAYDVBD4A,2019-07-24,East,25-34,Social
C_3539852,AEI2KJ3JMMUJ4NIVIV64ST4TLMKQ,2018-08-26,South,25-34,Social
C_0243923,AGNNX5XDIN5SHDOKFX2QOUE32B5A,2014-09-25,South,18-24,Email
C_6290832,AFPTOUHUSNEB6JDSCWDMLS23L4CA,2018-08-04,East,18-24,Social
C_1283208,AG4DEQCBVNCJPRHXC3S255BBJALQ,2018-09-13,North,55+,Paid Search
C_0371787,AHKLYY7DZ4RECGZXP6KUALGUFRJA,2015-11-30,Central,18-24,Paid Search
C_0077406,AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,2021-07-07,South,25-34,Referral
C_6876199,AHCG7XEDVLOCFOQMZC26VE33NW2Q,2019-05-02,South,18-24,Paid Search
C_5658525,AFMHO73ZLBHUMB36EHB4GUFLM3SA,2017-07-29,North,35-44,Email
C_0788672,AETOPBLLOVEAMSUYLIVTIKRWTGZA,2021-04-21,South,45-54,Organic
C_0341578,AH6U3RG4SKWXF4KNH3RC6VD5P4QQ,2020-02-05,East,25-34,Paid Search
C_4991375,AGCUONI7ZAZ4SCQWIUQCV7LRU7VQ,2015-07-09,West,18-24,Referral
C_3158217,AEEZXJJJZMYYUHBQJ3E6Y5GYLD5Q,2017-06-17,South,45-54,Organic
C_3895459,AHVOQ4CBGSXUQKOR2A3BPCV53YMA,2022-04-12,North,25-34,Social
C_2907499,AGYU3KLQWZIUYKAXV7YARVZGUI2Q,2013-11-01,South,25-34,Email
C_3124142,AG6K7GPCDHQNKMVDMTYKKWSOAVVQ,2018-03-08,Central,25-34,Organic
C_8435913,AFHRPCWEWPAAA2ZVLDTJHDIFR3VA,2020-05-05,East,25-34,Referral
C_4427652,AF3Q2MGLBSXB3QSTZJCTDM4V4CMQ,2019-11-06,South,55+,Paid Search
C_4314047,AGRXRS7Y7ALTQP4VVJEWEDWUKVFA,2019-07-28,South,35-44,Referral
C_8327734,AHL5UAIYCGYOTCHEY6HJKOMJTF6A,2020-04-25,Central,18-24,Email
C_1164579,AFKJQMCY3HIYNHN3FEMLQXPGIPWA,2021-05-11,South,35-44,Paid Search
C_7166659,AGNQVHZDKTKGX6OYVTEWV53YIQSQ,2016-11-18,East,35-44,Email
C_4100374,AFH7ZT2NJSHDKJ43IODXCE6RHWVA,2022-08-21,North,45-54,Referral
C_8111804,AFGDRVPCP742YM5MMLFIKZCGNNRQ,2022-10-05,East,25-34,Paid Search
C_9939236,AH74JVFA53ZGMIJCHYOE22SLB3FA,2021-05-18,North,45-54,Social
C_2084628,AHSWBB6FZBEA7W7PMSO4L5SC7ERQ,2017-08-13,East,25-34,Paid Search
C_5967860,AG3RUN6QXDMTDGTA7MXGFMDUILBQ,2021-03-31,West,25-34,Organic
C_2930797,AH5KJVUUL3UMJMTCSHPHGBQAZHOQ,2018-01-01,South,18-24,Paid Search
C_3141508,AFOMMZPFMNVCAC6VYYGQPJSRZFTQ,2018-04-15,East,18-24,Organic
C_0122921,AFT7NN6XCSB73I3TSVAZRWNKNJZQ,2020-09-16,Central,45-54,Social
C_4649248,AF3SSXF4RK6JEPW7WGJQPM32DUGQ,2018-03-16,North,18-24,Paid Search
C_2712535,AFO5WBJKP6QSOESYMPNWUXXYUEJA,2017-11-06,East,35-44,Organic
C_9248463,AFYD3C45KSVRKLLKA5S76U33FM2Q,2017-04-23,North,25-34,Organic
C_4090171,AHWW3GBNSOSLWDZBZ26ELXLGQJXA,2022-09-14,North,25-34,Social
C_1097276,AGNKRWFIR7RCHG4YPSDL7P3GMGBA,2017-11-21,West,45-54,Organic
C_5222698,AEZHRMVXXEGT4LCKGDCWWCA6ME7Q,2018-10-16,North,25-34,Organic
C_1740814,AGJ7WPIMFSZFTQZHI622C56V4DWA,2020-11-05,North,18-24,Organic
C_7128764,AEQJQXW6PQAU5WEJGXS42BZ6GCVQ,2019-03-02,Central,45-54,Organic
C_6250949,AGNT4XZCCKWQQBTRXLGEQXEU2OOQ,2020-10-24,Central,45-54,Social
C_4224017,AFERCDY2EFJKT7QUQ75GISNHTFOQ,2005-10-10,South,45-54,Paid Search
C_4086070,AF5YGFIDUL4PVHGLOLLCE2ZOZSCA,2011-04-02,South,45-54,Organic
C_6475188,AHKHMWNLW3LCZCJXWLZVKC744UDQ,2017-07-28,Central,25-34,Referral
C_9029354,AE5K7JZDVDIEJM53R5HRNZZGJ2IQ,2016-12-13,Central,45-54,Referral
C_7760848,AF6LYZ3MUF4YJFGN7VGQWMWLSUFQ,2017-05-21,South,25-34,Paid Search
C_8607636,AGU3DPKNTSMZP4QVNBGMZNQSVKFQ,2015-10-19,North,45-54,Email
C_5704070,AE2ODKIC3GWQTSYKDMMIYHPJZ7IA,2017-03-22,West,45-54,Social
C_0555838,AFAD64BC3SGKIFKIVBS4HOVWTDXQ,2014-12-30,East,35-44,Social
C_3880900,AGODEE2NRFP5H2KRXIZPZPV5QSJQ,2018-03-31,Central,45-54,Referral
C_6164941,AEXUHHBGMR5MZWUYXFLZ6XKVLCTQ,2020-10-04,Central,18-24,Paid Search
C_0523222,AEYE3LSUHQEX6BWG224MKVXX6XZQ,2018-12-23,West,35-44,Paid Search
C_7669949,AGLYZN4FZXZUWA2UPAJDWIDHUXFA,2019-10-08,Central,35-44,Organic
C_3393713,AEZBFZHVLG7CMLFKRNEDYYYMEYZQ,2018-12-17,North,18-24,Social
C_4877028,AEI6PVESNCWAQYNYNQ25O4U4OIHQ,2018-12-21,West,35-44,Referral
C_0650259,AFOSMON6MEJJHCNC2QAHGQQOFKUA,2016-11-21,East,25-34,Organic
C_4492852,AHNZGXDDP6KMIZ3JWII47NK72OLA,2016-04-28,Central,35-44,Social
C_4451468,AGSV4K43Q6TIIHGN6BB2Q5A2I5PA,2016-04-12,East,45-54,Organic
C_7856291,AEJDFPQZNZYNSBFL5DNAHYZFFRBQ,2017-02-14,Central,25-34,Organic
C_5588794,AH6LSFADKK56ZXNWKN32R2HPR2FA,2022-01-07,West,25-34,Referral
C_5006096,AGM7RCFVS3FJ7WGW2BUIQHN34NZA,2017-11-23,Central,25-34,Paid Search
C_0498230,AFISRL535I2D5IUPG3FGWY6XZC7A,2020-02-16,East,35-44,Paid Search
C_9658123,AGKSSNLDIG5HY5FXYVE6UVXKVDYQ,2017-03-10,East,25-34,Organic
C_9437339,AHPXDXGUHYKWYX6KIKCH2IB4DFUQ,2018-01-18,North,25-34,Paid Search
C_7627889,AH57UQ3IE2TH2COG2LKAIHVE6OKQ,2016-10-20,South,18-24,Paid Search
C_1419169,AGJFPQJ5UH5BQEQGL6GKURTN6XZA,2020-07-25,East,35-44,Paid Search
C_9336952,AFWQKUQAAN4XCFE6Y66VI5AOO4ZA,2021-01-13,Central,45-54,Organic
C_8960141,AEYB24ATMPTFOMYIHSYYRN4MZUOA,2016-09-29,West,25-34,Paid Search
C_6385398,AEWUOTR5BLPGWHAJI24EMWJHXORA,2014-09-09,South,18-24,Paid Search
C_6699105,AG6K2WLPXCRUL24DHHFXACBYLOBA,2016-03-19,West,35-44,Organic
C_0000330,AFSH2ADUKP7QBX2P6BCWUKZYE5NQ,2015-05-07,Central,35-44,Organic
C_6687115,AG7J2YXTPA2J6USGMRCDRXP27AUA,2014-07-15,South,55+,Email
C_7907086,AEBIQICUNDRDP6YCUGOCC7GTIEPQ,2015-03-27,North,35-44,Paid Search
C_4328434,AHQKDADRWYPGGJFCUD3WI4ANDQXQ,2015-01-11,East,45-54,Social
C_3552114,AHAWL3U7UKXOVLS5EGO7ZWROEHZA,2016-08-28,West,25-34,Paid Search
C_2584831,AH2SK57JTJATVPUL34OIS44AQARA,2015-03-24,North,25-34,Social
C_9719844,AFMKRGS25NE4HPMVPBDC6M2BKUYA,2019-07-15,West,25-34,Paid Search
C_4169169,AGHU6Z5VO7EX3QY5OEAUMPOU7AAQ,2015-08-03,East,18-24,Social
C_9050681,AGN65FCMRQSRXS6PWIVSUYIDZXFA,2019-10-05,North,55+,Referral
