order_id,customer_id,order_date,product_id,product_name,category,order_value,discount_pct,is_returned,ab_group,converted,retained_30d
O000015,C_8120791,2021-02-14,B08GLG6W8T,Hanhoo Red pomegranate 6pcs Skin Care Set (6pcs/set),All Beauty,22.18,0.13,0,treatment,0,1
O000016,C_8120791,2020-12-07,B08M3C6LVS,"24K Gold Under Eye Mask– 20 Pairs- Under Eye Patches with Face Massager Roller, Anti-Aging Hyaluronic Acid Collagen Eye Masks for Dark Circles and Puffiness Dark Under Eyes Treatment",All Beauty,17.64,0.06,0,treatment,1,0
O000017,C_8120791,2020-08-23,B07GHPCT6T,Bellezza Versa Styler 1 Inch Titanium Plates Flat Iron Twisted Hair Straighteners (Blush Pink),All Beauty,14.04,0.05,0,control,0,0
O000018,C_8120791,2020-08-03,B07KG1TWP5,"Organic Bamboo Cotton Ear Swabs by Bali Boo - 200 - Natural Wooden Qtips Cotton Swabs for Cleaning Ears, Baby or Makeup and Nails - Sustainable & Vegan Buds Sticks - Eco Friendly & Biodegradable",All Beauty,28.29,0.0,0,control,0,0
O000019,C_8120791,2020-06-28,B07W397QG4,Iryasa Night Indulge Cream - Natural Face Cream for Dry Skin - Vegan Anti Aging Night Cream for Women - Firming Cream for Face and Neck - Organic Vitamin C Moisturizer for Face - 1.7oz,All Beauty,17.38,0.03,0,treatment,0,0
O000020,C_8120791,2019-01-15,B07GDQPG12,Spa Grade Jade Roller for Face with Gua Sha | Jade Face Roller Massager | Jade Facial Roller | Face Roller Massager | Jade Rollers | Wrinkle Roller,All Beauty,35.02,0.15,0,control,0,1
O000021,C_8120791,2019-01-15,B07J3GH1W1,"Manicure and Pedicure Nail Clipper from POWERGROOMING - Powerful Trimmer for Thick and Thin Finger Nails and Toe Nails - Included Nail File and""Catcher"" for Easy Cleanup (1 Pack)",All Beauty,17.3,0.1,0,treatment,0,1
O000022,C_8120791,2017-10-23,B01M7UMAUG,"Philips Sonicare Essence+ Gum Health & Airfloss Rechargeable Electric Flosser, Bundle Value Pack, HX8218/02",All Beauty,14.12,0.07,0,control,1,0
O000023,C_8120791,2014-07-03,B00JMDPK8S,"Panasonic EW-DL82 Sonic Vibration Rechargeable Electric Toothbrush, White",All Beauty,9.49,0.14,0,treatment,0,0
O000024,C_8744211,2016-10-06,B01ETWL5B2,Beauty Brags Mini Nail Polish 10-Piece Collection Set,All Beauty,18.39,0.15,0,control,1,0
O000025,C_8624513,2020-01-09,B07ZJKVVLW,"4 Point Eyebrow Pen, Micro Ink Tat Brow Pen Waterproof Eyebrow Pencil With Micro-Fork Tips for Daily Natural Eye Brown Makeup (Dark Brown/ Chestnut)",All Beauty,7.92,0.03,0,control,0,0
O000026,C_5442208,2020-03-21,B082QX2HP6,2 Pieces Hair Brush Cleaner Cleaning Tool Comb Cleaner Hair Brush Cleaner Comb Brushes Mini Hair Dirt Remover Brush with Metal Wire Rake Wooden Handle for Home and Salon Use (Black),All Beauty,60.7,0.08,0,control,1,0
O000027,C_5442208,2018-03-26,B077SRDVG9,Original Detangler Hair Brush,All Beauty,3.49,0.14,0,control,1,0
O000028,C_5442208,2017-07-23,B01AKTGHFW,"Charcoal Konjac Face Sponge 3 pk | Acne, Psoriasis, Bumpy Skin & Ingrown Hairs",All Beauty,14.65,0.09,0,treatment,0,0
O000029,C_6031039,2020-10-19,B079SMVSYW,Yellow Brick Road 1lb Shea Butter/1lb Cocoa Butter Combo,All Beauty,18.85,0.1,0,treatment,1,0
O000030,C_0871699,2020-05-17,B07K8VTT6M,Bromley's 7 Blade Classic Razor - 1 Razor,All Beauty,15.07,0.02,0,control,0,1
O000031,C_1123644,2021-05-18,B083BDVS36,"Adofect 31 Pairs Gold Eye Mask Collagen Eye Gel Pads Under Eye Mask for Puffiness and Dark Circle Under Eye Patches for Women and Men, Gold",All Beauty,8.76,0.14,0,treatment,1,1
O000032,C_6925480,2019-09-11,B09FP8PP2K,"Yeshan bow Headbands for women Non Slip Stretchy Hair Bands Elastic Headwraps Knotted Headband Wired Rabbit Ears Turban Headbands,Pack of 8",All Beauty,11.86,0.04,0,treatment,1,0
O000033,C_6259726,2023-02-08,B0BFR5WF1R,Halo Hair Extensions Thick Invisible Wire Hair Extension with Transparent Headband Hairpieces 4 Types Adjustable Headwidth Size Wavy Curly Long 18 Inches Artificial Human Hair Hairpiece for Women Girls Heat-resistant Fiber with 2 Pcs Removable Secure Clips 145g(5.11oz) (Golden Blonde Mix Bleach Blonde Highlights),All Beauty,19.25,0.15,0,treatment,1,0
O000034,C_6259726,2020-08-08,B00946HGLW,1/8 inch Snap On Rollers 8 Pack (Pink),All Beauty,5.49,0.06,0,control,1,0
O000035,C_6259726,2020-06-18,B082FLP15V,"Replacement Discs for Bellasonic 4-in-1 Rechargeable Electric Nail File Set with Patented Oscillating Head – Shape, Smooth, Buff & Shine Nails | Remove Cuticles & Calluses (1 Set)",All Beauty,7.83,0.1,0,control,1,1
O000036,C_6259726,2014-07-22,B0020MKBNW,Wet-Nap Moist Towelette (case of 1000),All Beauty,52.44,0.08,0,treatment,1,0
O000037,C_1863652,2020-12-25,B00023J4AW,Premium Life Rain Hat With Full Visor,All Beauty,4.68,0.0,0,control,1,0
O000038,C_1863652,2017-03-18,B005IYYF5E,"Shower Cap - Blue Dot Pattern, Vinyl material, elastic band, extra large, large, won’t fall off your head,",All Beauty,3.65,0.06,0,control,0,0
O000039,C_5274021,2019-12-30,B0B96MFXSJ,"PURE ORIGINAL INGREDIENTS Vegetable Glycerin (16 fl oz) Food Grade, Vegan, Hypoallergenic, Odorless, Colorless",All Beauty,16.18,0.07,0,control,1,1
O000040,C_1804124,2022-04-10,B01M5KNSQN,"NYX Eyebrow Shaper, 1 Count",All Beauty,69.9,0.09,0,treatment,1,0
O000041,C_1261882,2020-12-09,B07KDNK11M,"Chialstar (2 Pack) Shampoo Brush | Hair Scalp Massager, Soft Silicone Scalp Care Brush [Wet & Dry] Perfect for Men, Women, Kids and Pets (Pink/Green)",All Beauty,21.12,0.0,0,control,0,0
O000042,C_1261882,2020-11-25,B08DLGCYK8,"ZYNERY 10 Pack Button Headbands for Nurses Doctors - Non Slip Knotted Elastic Twisted Head Wrap, Wide Headbands with Ear Loop Holder Buttons for Women Girls Ears Protection (B)",All Beauty,17.11,0.25,0,control,1,0
O000043,C_9869715,2021-06-12,B081GCFHPG,Bow Hair Band Lovely Rabbit Ears Soft Carol Fleece Bowknot Makeup Cosmetic Shower Elastic Hairlace Headband(pink),All Beauty,23.1,0.08,0,treatment,1,0
O000044,C_4224434,2020-03-23,B07H8Z3SMK,ALICE False Eyelashes Natural Wispy Lashes 5 Pairs Multipack,All Beauty,42.52,0.13,0,treatment,0,1
O000045,C_3248344,2020-10-25,B08C9LZQN4,"6 Pack 50ml/1.7oz Travel Plastic Clear Keychain Bottles, Leakproof Refillable Empty Bottles Portable Squeeze Containers with 6Pcs Carabiner and 2Pcs Funnels",All Beauty,9.23,0.18,0,treatment,1,0
O000046,C_8377016,2020-12-31,B07H281V4V,"ZOYA All Snuggled Up Quad,4 Count (Pack of 1)",Premium Beauty,17.92,0.12,0,control,1,1
O000047,C_9537824,2022-04-01,B09FF97RHL,"24 Eyebrow stencil , Meilala Eyebrow Shaper Kit ,Reusable Eyebrow Template Eye Brown Shape Kit With Eyebrow Razor…",All Beauty,11.26,0.04,0,control,1,0
O000048,C_2567953,2020-02-28,B07Y5QX37B,DAWEIF Crystal Rhinestone Bowknot Barrette French Bridal Hair Clips Hairpin Headwear for Women Girls,All Beauty,16.07,0.0,0,treatment,0,1
O000049,C_2567953,2020-02-28,B07XYXSYCD,Rhinestones Bobby Pins Silver Plated Words Letter Crystal Hair Pins Metal Hair Clips Hair Barrettes Sparkly Hair Accessories 3PCS (3PCS),All Beauty,9.36,0.11,0,treatment,1,1
O000050,C_4233690,2019-06-08,B07NSR3CKR,"Foot Peel Mask Exfoliating (3 pairs) - Foot Peeling Mask (2 pairs) & Moisturizing Foot Mask (1 pairs), Make Your Feet Baby Soft, Peel Away Calluses and Dead Skin for Women & Men",All Beauty,57.83,0.03,0,control,0,0
O000051,C_4233690,2017-02-01,B07CJWG8SP,"Cotton Headbands 6 Pack Stretch Elastic Yoga Soft and Stretchy Sports Fashion Headband for Teens Women Girls by Kenz Laurenz (6 pc 2"" Cotton Headbands-Neutral)",All Beauty,11.13,0.14,0,treatment,0,0
O000052,C_4233690,2016-11-10,B018F28B1Y,Merit Advanced Eye Serum,All Beauty,19.3,0.17,0,treatment,0,1
O000053,C_6752890,2019-06-28,B01HO1ZB7Y,KeyZone Waterproof Drawing Eye Brow Eyebrow Pencil No.4 Grey,All Beauty,23.58,0.1,0,treatment,1,1
O000054,C_7476582,2021-12-30,B0040NQBAG,S. FERRAGAMO Subtil Homme Edt Spray 3.3 OZ,All Beauty,29.21,0.0,0,control,1,1
O000055,C_7476582,2019-09-11,B00JNI1DZQ,Eyelash Curler by Bella and Bear - Your New Lash Curlers Include a Storage Bag and Extra Refill Pads - Curl and Shape Your Eyelashes Without Pinching or Pulling,All Beauty,28.47,0.1,0,control,0,1
O000056,C_1559657,2022-07-03,B07T2L6JQR,Tea Tree Lemon Sage Thickening Liter Duo Set,Premium Beauty,73.38,0.1,0,treatment,0,0
O000057,C_2395285,2021-08-17,B095SC4J8T,"Rhinestones for Acrylic Nails, Nail Gems Jewels Crystals 7660Pcs Red Flatback Nail Rhinestones Mutil Shapes Sizes for Nail Art Design, Non-Hotfix Rhinestones Kit with Tweezers Storage Box",All Beauty,22.24,0.1,0,treatment,1,0
O000058,C_2395285,2020-08-31,B087JNH3NC,"Clear Stiletto Nails 1000pcs Long Half Cover False Fake Nails Art Tips for Nail Salons and DIY Nail Art at Home, 10 Sizes",All Beauty,61.69,0.11,0,treatment,0,0
O000059,C_2395285,2020-03-26,B07SQ8193F,WillingTee 12 Pack Boho Headbands for Women Vintage Flower Printed Criss Cross Elastic Head Wrap Twisted Cute Hair Accessories,All Beauty,35.26,0.01,0,treatment,1,0
O000060,C_8280746,2021-12-31,B09CQ4PXLN,"Sonic Facial Cleansing Brush, Electric Silicone Face Brush and Massager, Waterproof Silicone Face Scrubber for Deep Cleansing, Exfoliating, Blackhead Removing, Rechargeable,for Girls Gifts",All Beauty,48.87,0.02,0,treatment,1,0
O000061,C_8280746,2020-08-30,B08DXDLR3P,3D Mask Bracket - Internal Support Holder Frame Nose Breathing Smoothly - Protect Lipstick Lips - DIY Face Mask Accessories - 5Pcs (L-Adult),All Beauty,27.81,0.14,0,control,1,1
O000062,C_8280746,2020-07-23,B0875V791H,"Magic Hair Curlers Spiral Curls Styling Kit, 20 PCS No Heat Wave Hair Curlers with 2 Styling Hook for Long Hair Most Kinds of Hairstyles (50cm)",All Beauty,17.38,0.03,0,control,0,1
O000063,C_8280746,2019-05-24,B07LBK2YQX,"Schick Bare By Schick Dermaplaning Tool With 2 Dermaplaning Razors and 1 Cleaning Brush, 2 Count",All Beauty,12.39,0.07,0,treatment,0,0
O000064,C_8280746,2018-10-06,B07FX94GYX,"Pore Strips, Blackhead Remover Charcoal Nose Strips Deep Cleansing 24 Strips",All Beauty,22.87,0.14,0,control,1,0
O000065,C_0796126,2021-04-15,B08CXFDDV8,Sailor Moon x Colourpop Collection - From The Moon - Pressed Powder Blush (From The Moon),All Beauty,17.71,0.18,0,treatment,1,0
O000066,C_0796126,2020-07-11,B015RR870U,"Herbivore - Natural Sea Mist Texturizing Salt Spray (Coconut, Travel Size 2 oz)",All Beauty,108.57,0.12,1,control,1,0
O000067,C_0796126,2018-10-17,B000OQFVLS,"ONOX Foot Solution Spray, 4 oz",All Beauty,15.23,0.01,0,control,1,1
O000068,C_7967011,2021-07-12,B00C0YZBJE,Salerm Color Reverse,All Beauty,19.6,0.06,0,treatment,1,0
O000069,C_5614564,2022-09-14,B0B8DZ7H5F,"Frankies Bikinis Lip Butter Gloss, Sleeping Vegan Lip Mask Overnight, Moisturizing Lip Plumper, Vitamin E Lip Balm Moisturizer, Hydrating Lip Oil with Cocoa Butter, Made in USA, Guava 0.7 Ounces",All Beauty,18.61,0.11,0,treatment,0,0
O000070,C_5614564,2022-08-13,B0B4JP5YD9,"ELLI K ESSENTIAL SINCERITY FROM AZ TIME REVERSE CREAM - Made in USA - Anti-Aging Face Moisturizer for Dry & Rough Skin – Repairing Treatment Cream – Highly Concentrated Formula, 1.76 oz.",All Beauty,12.46,0.0,0,treatment,1,0
O000071,C_5614564,2022-08-13,B0B4JPGX8P,"Elli K Essential Sincerity From AZ Time Reverse Double Ampoule – Made in USA - Double Layering Serum – Repairing & Deep Hydrating – Oil and Cream Formula for Healthy and Smooth Skin, (2.02 fl.oz.)",All Beauty,32.61,0.09,0,control,1,0
O000072,C_5614564,2022-02-08,B09KT4RJG6,"Simply Dana Rivitastore Neck Firming Cream — Skin Firming Cream for Tightening Neck, Jawline, and Chest, Collagen Peptides, and Squalane Cream for Wrinkles, Sagging, and Dryness",All Beauty,20.94,0.11,0,treatment,1,0
O000073,C_5614564,2021-08-19,B07KQ32Z8C,"APIVITA Queen Bee Holistic Age Defense Night Cream 1.69 fl.oz. |Intensive Night Treatment That Speeds Skin Regeneration, Smooths Wrinkle & Increases Skin Elasticity with Royal Jelly & Hyaluronic Acid",Premium Beauty,21.02,0.08,0,control,0,1
O000074,C_5614564,2021-08-08,B08PQ6YXSH,Dose of Colors Cold Pressed Booster Multi-Use Oil 1oz,Premium Beauty,41.4,0.11,0,treatment,1,0
O000075,C_5614564,2021-06-09,B07W6H8CGT,"Little Moon Essentials Tropical Bath & Shower Sugar Exfoliant, Beach All You Want, 2 oz.",All Beauty,34.99,0.15,1,treatment,1,1
O000076,C_5614564,2021-06-08,B0BTJ6SYKB,"Shakira Perfumes - Dance for Women - Long Lasting - Femenine, Charming and Modern Perfume - Fruity Floral Notes - Ideal for Day Wear - 1.7 Fl Oz",All Beauty,29.94,0.01,0,control,0,0
O000077,C_5614564,2021-02-25,B08KYLTK5H,"MORe di Croatia Eye Cream - Dubrovnik Gold Anti Aging Eye Cream for Wrinkles and Fine Lines, Reduce Puffiness and Dark Circles, Hyaluronic Acid and Immortelle 15ml",All Beauty,13.6,0.12,0,treatment,1,0
O000078,C_5614564,2021-01-08,B08KWN77LW,"GENSKIN Generation Skin Hydrating Marine Algae Eye Patches | Hydrate, Plump, Brighten Eye Area 180g/6.34 Oz - 30 pairs",All Beauty,23.5,0.35,0,treatment,1,1
O000079,C_5614564,2020-12-12,B08HXQ3T9K,"invisibobble Sprunchie Spiral Hair Ring - True Black - Scrunchie Stylish Bracelet, Strong Elastic Grip Coil Accessories for Women - Gentle for Girls Teens and Thick Hair",All Beauty,10.2,0.16,0,control,0,0
O000080,C_5614564,2020-11-20,B0B2L218H2,"PINROSE Perfumes Bold Soul - Eau de Parfum Petals (Fragrance Towelettes) - Vegan, Cruelty-free, and Hypoallergenic Scent with Essential Oils - Notes of Crushed Blackberry, Tuberose, Vanilla, Cinnamon and Patchouli",All Beauty,8.54,0.13,0,treatment,1,0
O000081,C_5614564,2020-11-19,B0B2L218H2,"PINROSE Perfumes Bold Soul - Eau de Parfum Petals (Fragrance Towelettes) - Vegan, Cruelty-free, and Hypoallergenic Scent with Essential Oils - Notes of Crushed Blackberry, Tuberose, Vanilla, Cinnamon and Patchouli",All Beauty,8.3,0.13,0,treatment,1,1
O000082,C_5614564,2020-11-13,B08FRQGYDF,SeroVital Super Saturated Restoring Cleansing Cloths - Cleansing Face Wipes with Green Tea and Hyaluronic Acid - Makeup Remover Wipes - 1 Pack 15 Ct,All Beauty,18.17,0.05,0,treatment,1,0
O000083,C_5614564,2020-08-20,B08BZ1RHPS,"MD Complete Bright & Healthy Vitamin C+ Vitalizing Face Serum| with Vitamin C, Vitamin E and Herbal Extracts | Potent Antioxidant Protection, Nourishes, Brightens and Evens Skin 0.5 fl oz",All Beauty,104.06,0.0,0,treatment,0,0
O000084,C_5614564,2020-08-15,B085NYYLQ8,Caudalie Favorites Set,Premium Beauty,7.87,0.05,0,treatment,0,0
O000085,C_5614564,2020-06-26,B085WTCBLG,Senvenski Gel Nail Polish Red Rose Burgundy Purple Mauve Lavender Violets Lilac White Black Glitter Starrily Girlfriend Gift Soak Off UV LED Manicure Art Varnish Set DIY at Home 6 Colors (CS6-015),All Beauty,22.16,0.0,0,treatment,1,0
O000086,C_5614564,2020-06-25,B088FBNQXW,MainBasics Headband with Buttons for Face Masks (Gray),All Beauty,33.93,0.03,0,treatment,0,0
O000087,C_5614564,2020-06-12,B087D7MVHB,"2-Pack Puretize 16.9 Oz Hand Sanitizing Gel w/Pump Tops - Extra Strength 70% Ethyl Alcohol - Moisturizing Formula with Aloe Vera, Vitamin E & Botanical Extracts - Quick Drying Formula",All Beauty,25.04,0.03,0,treatment,1,0
O000088,C_5614564,2020-05-07,B07PRDZ2BH,"LUA SKINCARE Clarity Calming Face Oil, 1 FZ",All Beauty,33.89,0.0,0,treatment,1,0
O000089,C_5614564,2020-03-26,B083TLNBJJ,"BE PLAIN Vitamin Ampoule 1.01 fl oz. - Korean Multi Vitamin Serum for Face with Vitamin B, Vitamin C, Vitamin E, Hyaluronic Acid",All Beauty,11.83,0.14,0,control,1,1
O000090,C_5614564,2020-03-11,B082NKQ4ZT,6 Pack Soft Headband BEoffer Coral Fleece Women Makeup Spa Head Bands Turban Fashion Bow Bowknot Hairlace Headwear Wash Face Hair Holder Elastic Top Knot Bandage Girl Baby Hair Accessories 6 Colors,All Beauty,19.07,0.12,0,treatment,1,0
O000091,C_5614564,2020-02-29,B084D86YL8,MD Complete Bright & Healthy Citrus-C Refresh Retinol + Vitamin C Multitasking Treatment,All Beauty,9.29,0.06,0,control,0,0
O000092,C_5614564,2020-02-15,B07WNBZQGT,SERUM By MERLOT - RESVERATROL - NATURAL ANTI-AGING - DAMAGE CORRECTOR - BOOST COLLAGEN - 1 FL OZ. - DARK CIRCLE CORRECTOR -,All Beauty,11.9,0.2,0,control,0,0
O000093,C_5614564,2020-02-03,B07SW7D6ZR,"Kale Firm & Smooth Body Lotion - Superfood Infused Firming Body Lotion with Kale. 6.8 fl.oz, Anti-Aging Moisturizing Lotion For All Skin Types",All Beauty,9.48,0.14,0,control,0,1
O000094,C_5614564,2020-01-18,B07JDD2L3M,"Kerotin Hairspray - Flexible Hold & Volume with Provitamin B5 - Heat Protectant, Frizz Ease, Weightless Hair Spray",All Beauty,42.17,0.0,0,treatment,1,0
O000095,C_5614564,2020-01-18,B082MTTFZD,"Wow the Crowd Eyelash Growth Serum for Full, Luscious, Long and Thick Lashes - Natural Formula (7mL), Clinically and Dermatologist Tested - Boost and Enhance Eyelashes and Brows",All Beauty,50.37,0.03,0,control,1,1
O000096,C_5614564,2020-01-13,B07NPWK167,"13.5 fl. Oz. Goat Milk Facial Cleanser, Moisturizing Face Wash for Women, Hydrating Natural Face Wash, Anti-aging Face Wash, Face Wash for Aging Ski",All Beauty,13.12,0.13,0,treatment,1,0
O000097,C_5614564,2019-12-22,B07J2QZBTP,"C.O. Bigelow No. 007 Dr Hiosous Quince Hand Lotion, 4 Ounces",All Beauty,20.05,0.0,0,control,0,0
O000098,C_5614564,2019-07-08,B07N45YN6C,&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&,All Beauty,20.69,0.0,0,control,0,0
O000099,C_5614564,2019-02-19,B077YR3333,"Anti-Aging Hydrating Serum with Natural Mango Micro-beads, Vitamins E and C, Natural and Organic Plant Extracts, Paraben-Free, 30 ml, Made in France, Phytema",All Beauty,8.39,0.05,0,control,0,1
O000100,C_5614564,2019-01-21,B07FZ5HZLM,[Old Version] QuickBooks Desktop Pro 2019 with Enhanced Payroll [PC Disc],All Beauty,60.6,0.0,0,control,1,1
O000101,C_5614564,2019-01-10,B07KV31WDS,3 Pack Hair Towel Wrap Turban Microfiber Drying Bath Shower Head Towel with Buttons - Quick Magic Dryer Dry Hair Hat Wrapped Bath Cap,All Beauty,22.74,0.01,0,treatment,0,1
O000102,C_5614564,2018-12-20,B07GDQPG12,Spa Grade Jade Roller for Face with Gua Sha | Jade Face Roller Massager | Jade Facial Roller | Face Roller Massager | Jade Rollers | Wrinkle Roller,All Beauty,24.35,0.04,1,treatment,1,1
O000103,C_5614564,2018-12-08,B071R2QPF3,"AuroTrends Makeup Remover Towel,2 Pack Reusable Chemical-free Microfiber Makeup Remover Cloths,Magically and Gently Wipe Away Cosmetics,Sunscreen,Oil and Dirt,Set of 2 (Pink+Black)",All Beauty,16.35,0.09,0,control,0,1
O000104,C_5614564,2018-11-11,B01KJPFO9W,"Lagunamoon Gel Nail Polish, Soak Off UV LED Nail Manicure Color Gel Polish Varnish Set 6PCS 8ML - Love Spectrum",All Beauty,70.19,0.0,0,control,0,0
O000105,C_5614564,2016-10-15,B01B6V11UY,"Scrub Angel Organic Arabica Coffee Body Scrub 8oz. An exfoliator that leaves Skin Smooth and Soft while Reducing Cellulite, 100% Natural Treatment",All Beauty,6.01,0.07,0,control,0,1
O000106,C_5614564,2016-10-07,B00GUTPV4A,Johnson & Johnson Ltd Neutrogena Visibly Clear Blackhead Eliminating 7 Day Rescue,All Beauty,25.26,0.04,0,control,0,1
O000107,C_5614564,2016-06-28,B01CO73OIQ,"Anti Wrinkle Eye Cream by VEBELLE Anti Aging Company - Top Rated Under Eye, Crows Feet Moisturizer Treatment, Natural Organic Instant Moisturizing & Hydrating, Best for Fine Lines & Wrinkles - 1.7oz",All Beauty,16.25,0.04,0,treatment,1,0
O000108,C_5614564,2016-04-11,B00KR4AFJU,Silky Smooth Foot Peeling Exfoliating Mask - 1 Pair - Natural Foot Care Treatment - Callus Remover - Removes Dead Skin From Your Feet - Heel Peel Care - Your Feet Will Feel Silky Smooth - Be Confident In Your Feet - Love Your Feet! - Your Feet Will Be As Soft As A Babies - Satisfaction Guarantee,All Beauty,28.63,0.03,0,control,0,1
O000109,C_5614564,2016-02-14,B015ZXMSFQ,Anti Aging Facial Masks by ERH with Intensive Care Serum to Help Reduce the Appearance of Fine Lines and Wrinkles. New Version Exclusive to Amazon with Expanded Mask Coverage. 5-Mask Pack,All Beauty,24.2,0.14,0,control,0,0
O000110,C_5614564,2016-02-04,B00KXFD75M,"Protege FLAWless Scar Gel Cream, Best for Scar Removal, Flattens and Softens Scars (1 ounce)",All Beauty,12.99,0.04,0,treatment,1,0
O000111,C_5614564,2015-09-12,B010B0S67C,"Blackhead Mask,Sky-shop Facial Mask Nose Mask Face Mask Blackhead Cream with Activated Charcoal Deep Pore Cleanse, Peel Off Deep Skin Clean Purifying Face Mask for Acne and Blackheads (100g) (110G)",All Beauty,30.58,0.08,0,control,1,0
O000112,C_5614564,2015-04-24,B00MDKICPK,zh-er-0424-dv684,All Beauty,50.5,0.04,0,control,0,0
O000113,C_5614564,2015-02-17,B00NNKWDI6,BEST Sleep Mask Set - Super Soft Silk Eye Mask For Traveling Insomnia And Meditation + Ear Plugs And Pouch,All Beauty,19.5,0.06,0,treatment,0,1
O000114,C_5614564,2014-11-17,B00N6WHTRG,"Pure Rosehip Seed Oil Certified Organic Large 4 Ounce Bottle (120 Ml) By Jarosa Beauty - Cold Pressed, Virgin & Unrefined, Carrier, Face & Hair Oil - No Fillers or Fragrance",All Beauty,35.2,0.14,0,control,0,0
O000115,C_6790089,2021-10-14,B0943GJDP6,"Water Flosser Cordless Dental Imtun 3-Mode Dental Oral irrigator, Portable and Rechargeable IPX7 Waterproof Powerful Battery Life Water Dental Cleaner Selected for Home Travel",All Beauty,19.21,0.13,0,treatment,0,0
O000116,C_6812570,2014-06-08,B0008F6QGO,H42 Clipper Cleaner 16 Oz. Jar Virucidal Anti-bacterial by H-42,All Beauty,14.73,0.1,0,treatment,0,0
O000117,C_4179259,2022-04-20,B08SWV1X6D,Foot Scrubber Files for Callus Remover - 32 Rows Easkep Professional Stainless Steel Foot File for Pedicure to Removes Hard Skin Corns for Dry and Wet Feet,All Beauty,19.78,0.12,0,treatment,1,0
O000118,C_8473799,2021-06-12,B08JLXLJGS,"COLORROSE 3 Pcs Matte Liquid Lipstick Set, Waterproof Long Lasting Non-Stick Velvety Liquid Lip Gloss Beauty Cosmetics Set,Pigmented Lip Makeup Gift Sets for Girls and Women",All Beauty,79.39,0.01,0,treatment,0,0
